c:\Users\Chris\AppData\Local\Programs\Python\Python311\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 413: Total Reward: 273.0, Episode Length: 864
Episode 414: Total Reward: 252.0, Episode Length: 740
Episode 415: Total Reward: 105.0, Episode Length: 434
Episode 416: Total Reward: 210.0, Episode Length: 547
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 419: Total Reward: 168.0, Episode Length: 518
Episode 420: Total Reward: 189.0, Episode Length: 673
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 424: Total Reward: 231.0, Episode Length: 885
Episode 425: Total Reward: 357.0, Episode Length: 844
Episode 426: Total Reward: 189.0, Episode Length: 518
Episode 427: Total Reward: 189.0, Episode Length: 561
Episode 428: Total Reward: 231.0, Episode Length: 791
Episode 429: Total Reward: 189.0, Episode Length: 663
Episode 430: Total Reward: 252.0, Episode Length: 939
Episode 431: Total Reward: 210.0, Episode Length: 685
Episode 432: Total Reward: 336.0, Episode Length: 874
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 435: Total Reward: 168.0, Episode Length: 663
Episode 436: Total Reward: 189.0, Episode Length: 634
Episode 437: Total Reward: 336.0, Episode Length: 774
Episode 438: Total Reward: 336.0, Episode Length: 874
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 440: Total Reward: 189.0, Episode Length: 569
Episode 441: Total Reward: 105.0, Episode Length: 463
Episode 442: Total Reward: 420.0, Episode Length: 962
Episode 443: Total Reward: 231.0, Episode Length: 874
Episode 444: Total Reward: 273.0, Episode Length: 760
Episode 445: Total Reward: 252.0, Episode Length: 760
Episode 446: Total Reward: 189.0, Episode Length: 781
Episode 447: Total Reward: 210.0, Episode Length: 1002
Episode 448: Total Reward: 315.0, Episode Length: 917
Episode 449: Total Reward: 378.0, Episode Length: 731
Episode 450: Total Reward: 189.0, Episode Length: 605
Episode 451: Total Reward: 210.0, Episode Length: 463
Episode 452: Total Reward: 273.0, Episode Length: 864
Episode 453: Total Reward: 273.0, Episode Length: 895
Episode 454: Total Reward: 147.0, Episode Length: 579
Episode 455: Total Reward: 252.0, Episode Length: 612
Episode 456: Total Reward: 189.0, Episode Length: 623
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 458: Total Reward: 357.0, Episode Length: 990
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 460: Total Reward: 273.0, Episode Length: 685
Episode 461: Total Reward: 378.0, Episode Length: 983
Episode 462: Total Reward: 189.0, Episode Length: 634
Episode 463: Total Reward: 315.0, Episode Length: 781
Episode 464: Total Reward: 273.0, Episode Length: 811
Episode 465: Total Reward: 168.0, Episode Length: 561
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 467: Total Reward: 315.0, Episode Length: 939
